_id,key,red3_team,red2_team,red1_team,blue3_team,blue2_team,blue1_team,red3_epa,red2_epa,red1_epa,blue3_epa,blue2_epa,blue1_epa,red3_total_points,red2_total_points,red1_total_points,blue3_total_points,blue2_total_points,blue1_total_points,red3_auto_points,red2_auto_points,red1_auto_points,blue3_auto_points,blue2_auto_points,blue1_auto_points,red3_teleop_points,red2_teleop_points,red1_teleop_points,blue3_teleop_points,blue2_teleop_points,blue1_teleop_points,red3_endgame_points,red2_endgame_points,red1_endgame_points,blue3_endgame_points,blue2_endgame_points,blue1_endgame_points,red3_rank,red2_rank,red1_rank,blue3_rank,blue2_rank,blue1_rank,red3_winrate,red2_winrate,red1_winrate,blue3_winrate,blue2_winrate,blue1_winrate,blue_score,red_score
67da17083136e1e6940cbf59,2025mosl_qm33,5889,1763,10317,5889,1763,10317,1458,1412,1496,1458,1412,1496,16.32,11.25,20.89,16.32,11.25,20.89,3.09,1.89,5.58,3.09,1.89,5.58,9.05,7.92,12.25,9.05,7.92,12.25,4.18,1.44,3.06,4.18,1.44,3.06,2526,3241,1712,2526,3241,1712,0.4,0.3333,0.5,0.4,0.3333,0.5,35,86
67da17083136e1e6940cbf5a,2025mosl_qm34,5822,7747,5176,5822,7747,5176,1519,1443,1445,1519,1443,1445,23.98,14.59,14.87,23.98,14.59,14.87,5.38,2.25,4.04,5.38,2.25,4.04,16.28,10.29,10.51,16.28,10.29,10.51,2.32,2.05,0.32,2.32,2.05,0.32,1336,2790,2735,1336,2790,2735,0.4,0.2,0.5,0.4,0.2,0.5,56,79
67da17083136e1e6940cbf5b,2025mosl_qm35,4329,554,7117,4329,554,7117,1576,1606,1463,1576,1606,1463,32.25,36.58,16.84,32.25,36.58,16.84,4.02,7.93,4.24,4.02,7.93,4.24,27.49,22.63,8.32,27.49,22.63,8.32,0.73,6.02,4.29,0.73,6.02,4.29,675,487,2455,675,487,2455,0.4167,0.5333,0.5,0.4167,0.5333,0.5,82,24
67da17083136e1e6940cbf5c,2025mosl_qm36,8069,6391,1208,8069,6391,1208,1554,1594,1480,1554,1594,1480,29,34.77,18.99,29,34.77,18.99,3.24,6.25,2.59,3.24,6.25,2.59,19.9,26.55,12.3,19.9,26.55,12.3,5.86,1.96,4.09,5.86,1.96,4.09,879,564,1974,879,564,1974,0.4167,0.5385,0.4,0.4167,0.5385,0.4,95,85
67da17083136e1e6940cbf5d,2025mosl_qm37,9428,4500,1775,9428,4500,1775,1525,1761,1490,1525,1761,1490,24.82,59.89,20.22,24.82,59.89,20.22,4.77,15.6,3.11,4.77,15.6,3.11,17.88,37.93,14.45,17.88,37.93,14.45,2.17,6.35,2.66,2.17,6.35,2.66,1253,80,1796,1253,80,1796,0.4167,0.7667,0.6154,0.4167,0.7667,0.6154,113,90
67da17083136e1e6940cbf5e,2025mosl_qm38,1288,6744,5934,1288,6744,5934,1406,1477,1588,1406,1477,1588,10.68,18.61,33.99,10.68,18.61,33.99,2.52,3.53,5.8,2.52,3.53,5.8,5.82,13.25,20.94,5.82,13.25,20.94,2.34,1.83,7.24,2.34,1.83,7.24,3310,2037,595,3310,2037,595,0.3,0.4,0.5714,0.3,0.4,0.5714,66,78
67da17083136e1e6940cbf5f,2025mosl_qm39,9401,3792,7496,9401,3792,7496,1619,1595,1462,1619,1595,1462,38.49,34.98,16.77,38.49,34.98,16.77,14.23,8.11,3.44,14.23,8.11,3.44,18.08,21.84,10.59,18.08,21.84,10.59,6.18,5.03,2.75,6.18,5.03,2.75,414,549,2467,414,549,2467,0.7333,0.4615,0.5,0.7333,0.4615,0.5,126,60
67da17083136e1e6940cbf60,2025mosl_qm4,6391,1706,5176,6391,1706,5176,1594,1835,1445,1594,1835,1445,34.77,70.7,14.87,34.77,70.7,14.87,6.25,19.06,4.04,6.25,19.06,4.04,26.55,41.96,10.51,26.55,41.96,10.51,1.96,9.68,0.32,1.96,9.68,0.32,564,18,2735,564,18,2735,0.5385,0.875,0.5,0.5385,0.875,0.5,125,49
67da17083136e1e6940cbf61,2025mosl_qm40,2408,7117,4330,2408,7117,4330,1312,1463,1505,1312,1463,1505,1.23,16.84,22.06,1.23,16.84,22.06,0.17,4.24,2.55,0.17,4.24,2.55,0.45,8.32,17.12,0.45,8.32,17.12,0.61,4.29,2.39,0.61,4.29,2.39,3704,2455,1569,3704,2455,1569,0.2,0.5,0.3333,0.2,0.5,0.3333,71,67
67da17083136e1e6940cbf62,2025mosl_qm41,3067,931,5583,3067,931,5583,1497,1489,1405,1497,1489,1405,21.11,20.11,10.55,21.11,20.11,10.55,2.96,4.21,1.79,2.96,4.21,1.79,16.32,13.35,6.57,16.32,13.35,6.57,1.82,2.55,2.2,1.82,2.55,2.2,1681,1814,3322,1681,1814,3322,0.4667,0.3077,0.2,0.4667,0.3077,0.2,39,43
67da17083136e1e6940cbf63,2025mosl_qm42,8719,6391,1763,8719,6391,1763,1389,1594,1412,1389,1594,1412,8.88,34.77,11.25,8.88,34.77,11.25,1.49,6.25,1.89,1.49,6.25,1.89,5.91,26.55,7.92,5.91,26.55,7.92,1.47,1.96,1.44,1.47,1.96,1.44,3470,564,3241,3470,564,3241,0.2,0.5385,0.3333,0.2,0.5385,0.3333,90,126
67da17083136e1e6940cbf64,2025mosl_qm43,3397,8069,4256,3397,8069,4256,1460,1554,1633,1460,1554,1633,16.55,29,40.65,16.55,29,40.65,3.06,3.24,7.86,3.06,3.24,7.86,10.52,19.9,26.88,10.52,19.9,26.88,2.97,5.86,5.9,2.97,5.86,5.9,2498,879,355,2498,879,355,0.6364,0.4167,0.6154,0.6364,0.4167,0.6154,108,61
67da17083136e1e6940cbf65,2025mosl_qm44,27,5176,7452,27,5176,7452,1810,1445,1463,1810,1445,1463,67.13,14.87,16.86,67.13,14.87,16.86,13.6,4.04,2.25,13.6,4.04,2.25,43.45,10.51,13.78,43.45,10.51,13.78,10.08,0.32,0.83,10.08,0.32,0.83,27,2735,2452,27,2735,2452,0.7647,0.5,0.5,0.7647,0.5,0.5,107,73
67da17083136e1e6940cbf66,2025mosl_qm45,1329,4329,1288,1329,4329,1288,1535,1576,1406,1535,1576,1406,26.2,32.25,10.68,26.2,32.25,10.68,6.33,4.02,2.52,6.33,4.02,2.52,17.46,27.49,5.82,17.46,27.49,5.82,2.4,0.73,2.34,2.4,0.73,2.34,1118,675,3310,1118,675,3310,0.6875,0.4167,0.3,0.6875,0.4167,0.3,70,93
