red3_epa,red2_epa,red1_epa,blue3_epa,blue2_epa,blue1_epa,red3_total_points,red2_total_points,red1_total_points,blue3_total_points,blue2_total_points,blue1_total_points,red3_auto_points,red2_auto_points,red1_auto_points,blue3_auto_points,blue2_auto_points,blue1_auto_points,red3_teleop_points,red2_teleop_points,red1_teleop_points,blue3_teleop_points,blue2_teleop_points,blue1_teleop_points,red3_endgame_points,red2_endgame_points,red1_endgame_points,blue3_endgame_points,blue2_endgame_points,blue1_endgame_points,red3_rank,red2_rank,red1_rank,blue3_rank,blue2_rank,blue1_rank,red3_winrate,red2_winrate,red1_winrate,blue3_winrate,blue2_winrate,blue1_winrate,blue_score,red_score
1447,1369,1517,1447,1369,1517,15.1,6.85,23.72,15.1,6.85,23.72,3.13,2.28,3.71,3.13,2.28,3.71,9.6,3.41,19.04,9.6,3.41,19.04,2.38,1.16,0.97,2.38,1.16,0.97,2706,3584,1358,2706,3584,1358,0.24,0.5455,0.4138,0.24,0.5455,0.4138,41,115
1410,1371,1559,1410,1371,1559,11.07,7.03,29.72,11.07,7.03,29.72,1.34,4.81,5.62,1.34,4.81,5.62,7.9,3.41,22.6,7.9,3.41,22.6,1.83,-1.18,1.51,1.83,-1.18,1.51,3259,3573,829,3259,3573,829,0.35,0.3333,0.6538,0.35,0.3333,0.6538,33,23
1487,1585,1450,1487,1585,1450,19.74,33.45,15.41,19.74,33.45,15.41,3.0,6.2,3.11,3.0,6.2,3.11,14.98,23.08,10.0,14.98,23.08,10.0,1.76,4.17,2.3,1.76,4.17,2.3,1869,620,2662,1869,620,2662,0.5,0.5333,0.5455,0.5,0.5333,0.5455,61,46
1464,1401,1505,1464,1401,1505,16.99,10.16,22.11,16.99,10.16,22.11,3.76,1.75,3.25,3.76,1.75,3.25,11.21,7.65,18.03,11.21,7.65,18.03,2.01,0.75,0.83,2.01,0.75,0.83,2423,3367,1561,2423,3367,1561,0.52,0.2,0.5769,0.52,0.2,0.5769,19,48
1429,1623,1700,1429,1623,1700,13.06,39.07,51.02,13.06,39.07,51.02,2.75,3.52,11.88,2.75,3.52,11.88,8.85,34.94,29.92,8.85,34.94,29.92,1.47,0.62,9.21,1.47,0.62,9.21,3007,396,154,3007,396,154,0.35,0.625,0.8387,0.35,0.625,0.8387,103,57
1555,1572,1513,1555,1572,1513,29.16,31.53,23.24,29.16,31.53,23.24,3.61,4.13,2.66,3.61,4.13,2.66,25.61,25.89,19.52,25.61,25.89,19.52,-0.05,1.52,1.06,-0.05,1.52,1.06,865,719,1418,865,719,1418,0.4853,0.5556,0.4286,0.4853,0.5556,0.4286,68,107
1525,1334,1559,1525,1334,1559,24.83,3.42,29.72,24.83,3.42,29.72,3.92,2.5,5.62,3.92,2.5,5.62,18.06,-0.06,22.6,18.06,-0.06,22.6,2.85,0.98,1.51,2.85,0.98,1.51,1252,3685,829,1252,3685,829,0.4286,0.4,0.6538,0.4286,0.4,0.6538,73,86
1371,1347,1399,1371,1347,1399,7.03,4.66,9.9,7.03,4.66,9.9,4.81,3.08,2.45,4.81,3.08,2.45,3.41,0.16,5.65,3.41,0.16,5.65,-1.18,1.43,1.8,-1.18,1.43,1.8,3573,3665,3387,3573,3665,3387,0.3333,0.1,0.25,0.3333,0.1,0.25,15,31
1369,1410,1487,1369,1410,1487,6.85,11.07,19.74,6.85,11.07,19.74,2.28,1.34,3.0,2.28,1.34,3.0,3.41,7.9,14.98,3.41,7.9,14.98,1.16,1.83,1.76,1.16,1.83,1.76,3584,3259,1869,3584,3259,1869,0.5455,0.35,0.5,0.5455,0.35,0.5,57,25
1467,1376,1369,1467,1376,1369,17.42,7.54,6.85,17.42,7.54,6.85,3.5,3.22,2.28,3.5,3.22,2.28,11.19,3.38,3.41,11.19,3.38,3.41,2.74,0.94,1.16,2.74,0.94,1.16,2353,3554,3584,2353,3554,3584,0.6154,0.35,0.5455,0.6154,0.35,0.5455,57,47
1480,1528,1568,1480,1528,1568,18.89,25.31,31.07,18.89,25.31,31.07,3.44,3.78,5.63,3.44,3.78,5.63,14.17,20.39,17.97,14.17,20.39,17.97,1.28,1.13,7.47,1.28,1.13,7.47,1990,1205,750,1990,1205,750,0.5417,0.5577,0.5781,0.5417,0.5577,0.5781,75,33
1413,1524,1572,1413,1524,1572,11.4,24.73,31.53,11.4,24.73,31.53,4.4,5.61,4.13,4.4,5.61,4.13,5.98,16.9,25.89,5.98,16.9,25.89,1.01,2.23,1.52,1.01,2.23,1.52,3224,1266,719,3224,1266,719,0.5385,0.4815,0.5556,0.5385,0.4815,0.5556,81,51
1471,1641,1555,1471,1641,1555,17.86,41.98,29.16,17.86,41.98,29.16,3.36,4.5,3.61,3.36,4.5,3.61,13.58,29.73,25.61,13.58,29.73,25.61,0.91,7.74,-0.05,0.91,7.74,-0.05,2273,321,865,2273,321,865,0.3864,0.8,0.4853,0.3864,0.8,0.4853,93,123
1559,1517,1384,1559,1517,1384,29.72,23.72,8.39,29.72,23.72,8.39,5.62,3.71,0.8,5.62,3.71,0.8,22.6,19.04,7.09,22.6,19.04,7.09,1.51,0.97,0.5,1.51,0.97,0.5,829,1358,3506,829,1358,3506,0.6538,0.4138,0.2,0.6538,0.4138,0.2,100,78
1487,1467,1464,1487,1467,1464,19.74,17.42,16.99,19.74,17.42,16.99,3.0,3.5,3.76,3.0,3.5,3.76,14.98,11.19,11.21,14.98,11.19,11.21,1.76,2.74,2.01,1.76,2.74,2.01,1869,2353,2423,1869,2353,2423,0.5,0.6154,0.52,0.5,0.6154,0.52,50,43
1401,1585,1568,1401,1585,1568,10.16,33.45,31.07,10.16,33.45,31.07,1.75,6.2,5.63,1.75,6.2,5.63,7.65,23.08,17.97,7.65,23.08,17.97,0.75,4.17,7.47,0.75,4.17,7.47,3367,620,750,3367,620,750,0.2,0.5333,0.5781,0.2,0.5333,0.5781,98,115
1410,1700,1525,1410,1700,1525,11.09,51.02,24.83,11.09,51.02,24.83,1.92,11.88,3.92,1.92,11.88,3.92,6.86,29.92,18.06,6.86,29.92,18.06,2.3,9.21,2.85,2.3,9.21,2.85,3256,154,1252,3256,154,1252,0.5,0.8387,0.4286,0.5,0.8387,0.4286,94,27
1447,1480,1371,1447,1480,1371,15.1,18.89,7.03,15.1,18.89,7.03,3.13,3.44,4.81,3.13,3.44,4.81,9.6,14.17,3.41,9.6,14.17,3.41,2.38,1.28,-1.18,2.38,1.28,-1.18,2706,1990,3573,2706,1990,3573,0.24,0.5417,0.3333,0.24,0.5417,0.3333,36,79
1471,1580,1376,1471,1580,1376,17.86,32.77,7.54,17.86,32.77,7.54,3.36,4.68,3.22,3.36,4.68,3.22,13.58,26.99,3.38,13.58,26.99,3.38,0.91,1.1,0.94,0.91,1.1,0.94,2273,645,3554,2273,645,3554,0.3864,0.5,0.35,0.3864,0.5,0.35,58,58
1413,1623,1410,1413,1623,1410,11.4,39.07,11.07,11.4,39.07,11.07,4.4,3.52,1.34,4.4,3.52,1.34,5.98,34.94,7.9,5.98,34.94,7.9,1.01,0.62,1.83,1.01,0.62,1.83,3224,396,3259,3224,396,3259,0.5385,0.625,0.35,0.5385,0.625,0.35,38,64
